2011JUL2915 09.16 09.18 09.20 09.22 09.24 09.26 09.28 09.30 09.32 09.34 09.36 09.38 09.40 09.42 09.44 09.46 09.48 09.50 09.52 09.54 09.56 09.58 09.60 09.62 09.64 09.66 09.68 09.70 09.72 09.74 09.76
47.70 1.251 -0.41 1.018 -0.66 1.136 -0.91 1.464 -0.95 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
47.68 0.001 0.001 0.001 0.001 0.924 -0.80 0.524 -0.80 0.319 -0.70 0.843 -0.60 1.279 -0.33 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
47.66 2.016 -0.91 1.803 -1.00 0.881 -0.52 0.115 -0.35 -0.44 -0.38 -0.25 -0.29 -0.11 0.067 -0.02 0.572 0.059 0.956 0.257 1.451 0.484 1.932 0.552 2.086 0.528 2.074 0.513 2.005 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
47.64 0.001 0.001 0.001 0.001 0.635 -0.87 -0.06 -0.57 -0.59 -0.41 -0.62 -0.00 -0.60 0.427 -0.53 0.858 -0.31 1.172 -0.18 1.488 -0.14 1.777 -0.26 1.941 -0.23 1.941 -0.06 1.877 0.378 1.863 0.777 1.832 1.095 1.776 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
47.62 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 -0.47 -0.72 -0.72 -0.32 -0.80 -0.02 -0.73 0.233 -0.52 0.656 -0.39 1.023 -0.31 1.338 -0.31 1.547 -0.24 1.657 -0.10 1.716 0.198 1.761 0.556 1.777 0.909 1.747 1.153 1.592 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
47.60 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 -0.53 -0.67 -0.71 -0.24 -0.83 0.257 -0.90 0.753 -0.85 0.927 -0.73 1.067 -0.52 1.191 -0.12 1.312 0.288 1.415 0.669 1.477 0.937 1.411 1.028 1.365 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
47.58 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 -1.10 -0.46 -1.27 0.113 -1.27 0.485 -1.13 0.593 -0.87 0.573 -0.47 0.641 -0.02 0.694 0.407 0.736 0.707 0.762 0.818 0.872 0.844 1.034 0.841 1.257 0.838 1.327 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
47.56 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 -1.65 -0.65 -1.52 -0.21 -1.33 -0.11 -1.09 -0.18 -0.71 -0.07 -0.29 0.027 0.098 0.134 0.323 0.296 0.387 0.553 0.373 0.835 0.317 1.065 0.294 1.226 0.334 1.343 0.517 1.403 0.595 1.402 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
47.54 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 -1.87 -1.08 -1.66 -0.94 -1.44 -0.89 -1.14 -0.71 -0.79 -0.44 -0.43 -0.12 -0.22 0.195 -0.11 0.487 -0.04 0.740 0.020 0.900 0.156 1.006 0.286 1.048 0.328 0.965 0.258 0.970 0.202 0.967 0.263 0.880 0.287 0.860 0.001 0.001 0.001 0.001 
47.52 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 -1.89 -1.43 -1.75 -1.29 -1.69 -0.99 -1.45 -0.71 -1.12 -0.43 -0.77 -0.16 -0.51 0.015 -0.30 0.147 -0.12 0.222 0.064 0.254 0.247 0.262 0.380 0.252 0.338 0.347 0.218 0.372 0.038 0.138 -0.04 0.090 -0.00 0.097 0.001 0.001 
47.50 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 -1.96 -0.92 -1.80 -0.77 -1.51 -0.73 -1.10 -0.71 -0.78 -0.73 -0.50 -0.75 -0.27 -0.71 -0.02 -0.76 0.182 -0.81 0.248 -0.73 0.251 -0.51 0.255 -0.34 0.311 -0.42 0.001 0.001 0.001 0.001 0.001 0.001 
47.48 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 -1.62 -0.91 -1.14 -0.95 -0.74 -1.00 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 
 
2011JUL2916 09.16 09.18 09.20 09.22 09.24 09.26 09.28 09.30 09.32 09.34 09.36 09.38 09.40 09.42 09.44 09.46 09.48 09.50 09.52 09.54 09.56 09.58 09.60 09.62 09.64 09.66 09.68 09.70 09.72 09.74 09.76
